Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,1.855180,1.880734,1.728101,1.767024,1.767024,38400389
2022-08-10,1.767083,1.815654,1.718084,1.815654,1.815654,34933986
2022-08-11,1.815633,1.891691,1.815633,1.841443,1.841443,41119273
2022-08-12,1.841375,1.875230,1.812203,1.874747,1.874747,28040650
2022-08-13,1.874915,1.893456,1.845868,1.858709,1.858709,23497016
2022-08-14,1.859096,1.905588,1.761844,1.776136,1.776136,44821426
2022-08-15,1.776080,1.818884,1.745398,1.796362,1.796362,42319142
2022-08-16,1.795358,1.875408,1.756401,1.858311,1.858311,47396872
2022-08-17,1.858261,1.988831,1.821210,1.845129,1.845129,89938446
2022-08-18,1.846459,1.853757,1.771478,1.772136,1.772136,36371621
2022-08-19,1.772146,1.772786,1.552809,1.571789,1.571789,64946726
2022-08-20,1.571618,1.629475,1.524392,1.555694,1.555694,33700978
2022-08-21,1.555286,1.638691,1.549463,1.624559,1.624559,37080527
2022-08-22,1.624468,1.626321,1.528384,1.598602,1.598602,45653036
2022-08-23,1.598668,1.607944,1.553048,1.598899,1.598899,35962370
2022-08-24,1.598850,1.645253,1.566181,1.607619,1.607619,45474235
2022-08-25,1.607606,1.679998,1.605940,1.673471,1.673471,47339716
2022-08-26,1.673484,1.675310,1.474274,1.484825,1.484825,57942454
2022-08-27,1.485133,1.491747,1.441366,1.468845,1.468845,37356874
2022-08-28,1.468754,1.497627,1.436001,1.436001,1.436001,25771291
2022-08-29,1.436271,1.532506,1.432483,1.529593,1.529593,29722529
2022-08-30,1.529596,1.547568,1.450921,1.492392,1.492392,28188234
2022-08-31,1.492625,1.570895,1.492625,1.507598,1.507598,30757415
2022-09-01,1.507934,1.546425,1.491205,1.546162,1.546162,24906929
2022-09-02,1.546165,1.567317,1.484335,1.496521,1.496521,32888117
2022-09-03,1.496667,1.529930,1.485275,1.528366,1.528366,21447194
2022-09-04,1.528635,1.570725,1.519172,1.570183,1.570183,20753032
2022-09-05,1.570202,1.578430,1.516581,1.553001,1.553001,24047340
2022-09-06,1.553320,1.601234,1.445822,1.445970,1.445970,41833386
2022-09-07,1.445710,1.500340,1.425100,1.491136,1.491136,26680835
2022-09-08,1.491105,1.599003,1.478790,1.589200,1.589200,50436220
2022-09-09,1.588866,1.650185,1.585226,1.619995,1.619995,48436853
2022-09-10,1.619752,1.653113,1.611089,1.640770,1.640770,34052459
2022-09-11,1.640612,1.710754,1.626444,1.670917,1.670917,54846231
2022-09-12,1.670921,1.697380,1.600801,1.632759,1.632759,47856678
2022-09-13,1.632588,1.653483,1.526426,1.542293,1.542293,60612265
2022-09-14,1.533871,1.622134,1.522207,1.608428,1.608428,40420274
2022-09-15,1.608527,1.612380,1.517739,1.525994,1.525994,50929820
2022-09-16,1.526141,1.547738,1.514058,1.518718,1.518718,37015931
2022-09-17,1.519017,1.551250,1.519017,1.548484,1.548484,20967014
2022-09-18,1.548403,1.566944,1.429707,1.435975,1.435975,31792244
2022-09-19,1.436120,1.495788,1.414856,1.481383,1.481383,42109992
2022-09-20,1.481123,1.516017,1.461668,1.467989,1.467989,37576426
2022-09-21,1.467885,1.532313,1.415910,1.440158,1.440158,59748096
2022-09-22,1.439449,1.543865,1.434787,1.533436,1.533436,43361214
2022-09-23,1.533372,1.597936,1.474473,1.567002,1.567002,41634135
2022-09-24,1.566716,1.597778,1.520695,1.525771,1.525771,27243363
2022-09-25,1.525867,1.554734,1.490875,1.506568,1.506568,21650030
2022-09-26,1.506796,1.528614,1.483532,1.532671,1.532671,24916122
2022-09-27,1.532712,1.596154,1.490334,1.507765,1.507765,35742111
2022-09-28,1.506857,1.516457,1.461391,1.482696,1.482696,33990004
2022-09-29,1.482837,1.491700,1.448707,1.464601,1.464601,24970676
2022-09-30,1.464631,1.490581,1.440572,1.450780,1.450780,28794668
2022-10-01,1.450841,1.461647,1.430124,1.438016,1.438016,13567861
2022-10-02,1.438081,1.447602,1.403422,1.407316,1.407316,17866400
2022-10-03,1.407460,1.475342,1.400403,1.466212,1.466212,32417143
2022-10-04,1.465568,1.469078,1.455394,1.459907,1.459907,22725980
2022-10-05,1.459708,1.460225,1.427786,1.442945,1.442945,19408652
